Sentences,Label
as an earlier review noted plug in this charger and nothing happens,0
this frog phone charm is adorable and very eye catching,1
the sound is clear and the people i talk to on it are amazed at the quality too,1
very good product well made,1
mobile phone tools are a must have,1
i am very impressed with the job that motorola did on the sturdiness of this phone,1
the phone is sturdy and waterproof,1
i am not impressed with this and i would not recommend this item to anyone,0
my only complaint is the standard sound volume is a little low even when turned up to of,0
thanks again to amazon for having the things i need for a good price,1
i ended up sliding it on the edge of my pants or back pockets instead,1
i had to go to a store and bought a new nokia phone which is working great,1
works great,1
really ugly,0
horrible had to switch times,0
the noise shield is incrediable,1
no real improvement,0
razr battery good buy,1
keep up the good work amazon,1
they refuse to refund or replace,0
so i basically threw my money out the window for nothing,0
great case and price,1
small sleek impressive looking practical setup with ample storage in place,1
none of the new ones have ever quite worked properly,0
i am glad i purchased it,1
i ve missed numerous calls because of this reason,0
perhaps my phone is defective but people cannot hear me when i use this,0
don t buy this product,0
sucked most of the stuff does not work with my phone,0
worst software ever used if i could give this zero stars i would,0
trying to make a call on these is an exercise in frustration,0
the case is a flimsy piece of plastic and has no front or side protection whatsoever,0
i love the camera it s really pretty good quality,1
thank you for such great service,1
its a total package,1
the seller is very understanding and patient i would definitely buy from them again,1
i give wirefly star i will contact cingular at t and inform them of this practice,0
it s aggravating,0
great product for the price,1
virgin wireless rocks and so does this cheap little phone,1
none of it works just don t buy it,0
please dont waste your money,0
all in all i m quite satisfied with this purchase,1
if you are looking for a good quality motorola headset keep looking this isn t it,0
yet plantronincs continues to use the same flawed charger design,0
disapointing results,0
cumbersome design,0
great it was new packaged nice works good no problems and it came in less time then i expected,1
great product,1
it s a piece of crap,0
this fixes all the problems,1
worst ever,0
i can barely ever hear on it and am constantly saying what,0
the battery life is highly unacceptable,0
that company is a joke,0
it does everything the description said it would,1
due to this happening on every call i was forced to stop using this headset,0
it works great with a car charger especially if you cannot plug in two adapters at the same time,1
verizon tech support walked my through a few procedures none of which worked and i ended up having,0
voice quality signal strength dropped calls,0
better than expected,1
battery is holding up well,1
also difficult to put on i d recommend avoiding this product,0
i only used it two days and it wasn t always easy to hear with,0
sprint terrible customer service,0
linked to my phone without effort,1
they are so cool,1
easy to use,1
better than new,1
what possesed me to get this junk i have no idea,0
piece of trash,0
a pretty good product,1
this is a great phone,1
for the price on amazon it is an excellent product which i would highly recommend,1
their research and development division obviously knows what they re doing,1
the real killer is the volume and of course it breaking,0
those phones are working just fine now,1
i am more than happy with this product,1
poor construction,0
this is infuriating,0
overall i would recommend this phone over the new walkman,1
sprint charges for this service,0
it is cheap and it feel and look just as cheap,0
it fits my ear well and is comfortable on,1
it doesn t work in europe or asia,0
clipping this to your belt will deffinitely make you feel like cent s up and coming,1
i was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction,1
the worst phone from samsung crap this crappy samsung e is the worst i have ever seeen,0
the charger worked for about a week and then completely stopped charging my phone,0
poor product,0
however i needed some better instructions,0
this is a great product sure beats using your fingers,1
plus i seriously do not believe it is worth its steep price point,0
very dissapointing performance,0
don t make the same mistake that i did and please don t buy this phone,0
this phone might well be the worst i ve ever had in any brand,0
case was more or less an extra that i originally put on but later discarded because it scratched my,0
i recommend igo to anyone with different brand cell phones mp players in the family,1
don t bother go to the store,0
i did not have any problem with this item and would order it again if needed,1
you get what you pay for i guess,0
im surprised this is a good quality car charger and there s not much reviews about it,1
these are fabulous,1
disappointing accessory from a good manufacturer,0
very wind resistant,1
obviously they have a terrible customer service so you get what you pay for,0
linksys should have some way to exchange a bad phone for a refurb unit or something,0
phone is sturdy as all nokia bar phones are,1
great phone,1
when i placed my treo into the case not only was it not snug but there was a lot of extra room on,0
i m pleased,1
battery is terrible,0
i found the product to be easy to set up and use,1
the earpiece on this is too large or too heavy it keeps falling out of my ear,0
utter crap sound quality is terrible,0
the charger arrived within the promised timeframe but it did not work,0
no ear loop needed it s tiny and the sound is great,1
talk about useless customer service,0
it felt too light and tinny,0
this does not fit the palm tungsten e and it broke the first time i tried to plug it in,0
i m happy about this purchase good quality and low price,1
i love the look and feel of samsung flipphones,1
its well designed and very sharp the blue is a very nice color,1
does everything it should and more,1
i could not recommend these more,0
nice sound,1
looks good in the picture but this case was a huge disappointment,0
much less than the jawbone i was going to replace it with,1
setup went very smoothly,1
its extremely slow and takes forever to do anything with it,0
a must study for anyone interested in the worst sins of industrial design,0
the first thing that happened was that the tracking was off,0
it is well made easy to access the phone and has a handy detachable belt clip,1
then i had to continue pairing it periodically since it somehow kept dropping,0
can t upload ringtones from a third party,0
bluetooth does not work phone locks up screens just flash up and now it just makes calls randomly,0
truly awful,0
it works fine on my motorola cellphone and a lot better than the worn out battery did,1
the volume for the ringer is real good you have choices how loud,1
and none of the tones is acceptable,0
camera color balance is awful,0
this product is clearly not ready for prime time i don t care how cool it looks if you can t tell,0
i love the ringtones because they are so upbeat,1
chinese forgeries abound,0
easy to pair with my samsung cell,1
the instructions didn t explain that a microphone jack could be used,0
i would advise to not purchase this item it never worked very well,0
too bad you have to pay up to a month for the service,0
works well,1
the nokia ca usb cable did not work with my phone,0
clear crisp sound,1
i have to use the smallest earpieces provided but it stays on pretty well,1
the biggest complaint i have is the battery drains superfast,0
the design might be ergonomic in theory but i could not stand having these in my ear,0
do not buy if you want to use the holster,0
the phone can also take great pictures and even video clips,1
it doesn t make you look cool,0
because both ears are occupied background is not distracting at all,1
also the phone doesn t seem to accept anything except cbr mp s preferably ripped by windows media,0
you can t beat the price on these,1
lightweight and works well,1
so just beware,0
i love this cable it allows me to connect any mini usb device to my pc,1
so anyone near you will hear part of your conversation,0
this is cool because most cases are just open there allowing the screen to get all scratched up,1
i bought this phone as a replacement for my startac and have regretted it since,0
appears to actually outperform the original battery from china that came with my v i,1
can t store anything but phone numbers to sim,0
poor quality,0
jabra ear gels r the best,1
not worth it,0
the phone crashed completely and now i have to get it replaced,0
it quit working after i d used it for about months so i just purchased another one because this,1
unfortunately it will not recharge my iphone s despite connecting it from multiple power sources,0
it was a great phone,1
if you simply want a small flip phone look elsewhere as the extra bells whistles are mediocre,0
good value works fine power via usb car or wall outlet,1
this is simply the best bluetooth headset for sound quality,1
think it over when you plan to own this one this sure is the last moto phone for me,0
in the span of an hour i had two people exclaim whoa is that the new phone on tv,1
i have always used corded headsets and the freedom from the wireless is very helpful,1
this case has passed the one year mark and while it shows signs of wear it is functional,1
other than that the leather is nice and soft the fit is very tight the cut out for the face is a,1
it has everything i need and i couldn t ask for more,1
after receiving and using the product for just days it broke,0
this product is great it makes working a lot easier i can go to the copier while waiting on hold,1
none of the three sizes they sent with the headset would stay in my ears,0
t mobile has the best customer service anywhere,1
arrived quickly and much less expensive than others being sold,1
provides good protection and looks classy too,1
krussel always good,1
the tracfonewebsite is user friendly and makes it easy toactivate etc,1
the design is very good,1
i great reception all the time,1
i would highly recommend this product,1
couldn t use the unit with sunglasses not good in texas,0
it dit not work most of the time with my nokia,0
bought mainly for the charger which broke soon after purchasing,0
if you like a loud buzzing to override all your conversations then this phone is for you,0
stay away from this store be careful,0
this blueant supertooth hands free phone speaker is awesome,1
does not fit,0
disappointing,0
blue ant is easy to use,1
cheap but hey it works was pleasantly suprised given the low cost of this item,1
then a few days later the a puff of smoke came out of the phone while in use,0
it s very convenient and simple to use gets job done makes the car ride so much smoother,1
the nano stated it my son was dissapointed,0
the sound quality is excellent as well,1
its the best headset i have used,1
would not reccommend,0
they have been around for years and carries the highest quality of anti glare screen protector that,1
just what i wanted,1
this particular model would not work with my motorola q smartphone,0
wont work right or atleast for me,0
in addition it feels amp looks as if the phone is all lightweight cheap plastic,0
great product,1
crisp and clear,1
after the first charge kept going dead after minutes,0
very cheap plastic creaks like an old wooden floor,0
the reception has been generally good,1
excellent sound battery life and inconspicuous to boot,1
great bluetooth,1
i highly recommend this case,1
worthwhile,1
this is a great deal,1
after my phone got to be about a year old it s been slowly breaking despite much care on my part,0
i am sorry i made this purchase,0
it was horrible,0
i don t think it would hold it too securly on your belt,0
this allows the possibility of double booking for the same date and time after the first,0
they work about weeks then break,0
it is simple to use and i like it,1
i can t use this case because the smell is disgusting,0
not what i wanted,0
i own of these cases and would order another,1
great phone,1
i bought this battery with a coupon from amazon and i m very happy with my purchase,1
the internet access was fine it the rare instance that it worked,0
perfect for the ps,1
five star plus plus,1
a good quality bargain i bought this after i bought a cheapy from big lots that sounded awful and,1
down the drain,0
good works fine,1
for the price this was a great deal,1
great price too,1
if there is a wind it is completely useless,0
yes it s shiny on front side and i love it,1
does not work,0
at first i thought i was grtting a good deal at until i plugged it into my phone v c razr,0
the reception through this headset is excellent,1
improper description i had to return it,0
it works it is comfortable,1
battery charge life is quite long,1
the jabra eargels fit my ears very well,1
battery has no life,0
i checked everywhere and there is no feature for it which is really disappointing,0
product is exactly as described,1
gets a signal when other verizon phones won t,1
doesn t do the job,0
i would recommend it,1
plan on ordering from them again and again,1
that being said for a phone the camera is very nice many cool effects to play with and video is,1
i have been very satisfied with this cell phone from day one,1
they keep getting better and better this is my third one and i ve had numerous palms too,1
awkward to use and unreliable,0
the shipping time was also very quick,1
not as good as i had hoped,0
good case,1
doesn t work,0
really good product,1
unfortunately it did not work,0
all three broke within two months of use,0
dont buy it,0
my father has the v and the battery is dying,0
however the ear pads come off easily and after only one week i lost one,0
horrible horrible protector,0
i don t like this nokia either,0
reaching for the bottom row is uncomfortable and the send and end keys are not where i expect them,0
i have bought this nokia cell phone a few weeks ago and it was a nightmare,0
it would take too long to describe how bad my customer service experience has been with amazon,0
the only very disappointing thing was there was no speakerphone,0
terrible my car will not accept this cassette,0
product is useless since it does not have enough charging current to charge the cellphones i was,0
it s not what it says it is,0
stay away from the q,0
used and dirty,0
very unreliable service from t mobile,0
not good enough for the price,0
i bought two of them and neither will charge,0
it looks very nice,1
this is an excellent tool especially when paired with your phone s auto answer,1
i have read other s reviews here but i haven t had any problem with it,1
these products cover up the important light sensor above the ear outlet,0
comfortable in my hand,1
just does not work,0
poor reliability,0
it works,1
if i take a picture the battery drops a bar and starts beeping letting me know its dieing,0
terrible product and waste of money,0
last time buying from you,0
it was a waste of my money,0
so far it has worked like a charm,1
i have only had it for a few weeks but so far so good,1
would recommend this item,1
it s been my choice headset for years great sound good volume good noise cancellation,1
nice case feels good in your hands,1
the item received was counterfeit,0
just really good so far probably the best bt headset i have ever had,1
works fine,1
i received my headset in good time and was happy with it,1
my sister has one also and she loves it,1
good quality,1
this is by far the worst purchase i ve made on amazon,0
excellent dual purpose headset,1
excellent,1
does not work for listening to music with the cingular,0
it seems completely secure both holding on to my belt and keeping the iphone inside,1
the bottowm line another worthless cheap gimmick from sprint,0
having trouble with volume,0
the only good thing was that it fits comfortably on small ears,1
warning do not buy,0
i am pairing this with my iphone and i could not be happier with it so far,1
when it opens the battery connection is broken and the device is turned off,0
i didn t want the clip going over the top of my ear causing discomfort,0
best headset ever,1
don t trust their website and don t expect any helpful support,0
the speaker is of low quality so as making the ring tones sound very cheap,0
fits comfortably came with three sizes of earbud tips,1
excellent product for the price,1
bad reception,0
this product is very high quality chinese crap,0
it was quite comfortable in the ear,1
great phone,1
don t buy this product it fails,0
terrible phone holder,0
the cutouts and buttons are placed perfectly,1
i love being able to use one headset for both by land line and cell,1
problem is that the ear loops are made of weak material and break easily,0
not nearly as good looking as the amazon picture makes it look,0
how stupid is that,0
seller shipped quickly and much cheaper than the competitors,1
good show samsung,1
so i bought about of these and saved alot of money,1
it always cuts out and makes a beep beep beep sound then says signal failed,0
so i had to take the battery out of the phone put it all back together and then restart it,0
while i managed to bend the leaf spring back in place the metal now has enough stress that it will,0
leopard print is wonderfully wild,1
works for me,1
saggy floppy piece of junk,0
much better than the hard plastic cases,1
it also had a new problem,0
happy so far,1
cool phone,1
works good,1
motorola finally got the voice quality of a bluetooth headset right,1
it looses connection to the phone even when it is within a couple feet between the two,0
makes it easier to keep up with my bluetooth when i m not wearing it,0
as i said above pretty useless,0
never got it,0
this pair of headphones is the worst that i have ever had sound wise,0
down the drain because of a weak snap,0
does not charge the cingular att phone,0
you get extra minutes so that you can carry out the call and not get cut off,1
i kept catching the cable on the seat and i had to pull the phone out to turn it on an off,0
the headset fulfills my requirements so i am happy with my purchase,1
logitech bluetooth headset is a,1
i like the fact that it rests lightly against your ear rather than inside,1
a lot of websites have been rating this a very good phone and so do i,1
i have tried these cables with my computer and my ipod and it works just fine,1
the mic there is a joke and the volume is quite low,0
i m returning them,0
i does not maintain a connection with the computer while it is on my lap,0
it is easy to turn on and off when you are in the car and the volume controls are quite accessable,1
i have had mine for about a year and this christmas i bought some for the rest of the family,1
otherwise easy to install and use clear sound,1
nice leather,1
i had to purchase a different case,0
it is a joy to use,1
very much disappointed with this company,0
very satisifed with that,1
it didn t charge for me,0
this is the phone to get for i just bought my s a and all i can say is wow,1
buttons are too small,0
just reading on the specs alone makes you say wow,1
love it great armband,1
however the keypads are so tinny that i sometimes reach the wrong buttons,0
i exchanged the sony ericson z a for this and i m pretty happy with that decision,1
i was very impressed with the price of the cases,1
also makes it easier to hold on to,1
it s pretty easy,1
i cannot make calls at certain places,0
however my girl was complain that some time the phone doesn t wake up like normal phone does,0
beautiful styling though,1
this company charge me a restocking fee and still not given me my refund back,0
i m trying to return it for a refund,0
i plugged it in only to find out not a darn thing worked,0
excellent product,1
earbud piece breaks easily,0
lousy product,0
this phone tries very hard to do everything but fails at it s very ability to be a phone,0
it is the best charger i have seen on the market yet,1
sweetest phone,1
oh the charger seems to work fine,1
not enough volume,0
you could only take videos at a time and the quality was very poor,0
don t waste your money,0
i am going to have to be the first to negatively review this product,0
adapter does not provide enough charging current,0
there was so much hype over this phone that i assumed it was the best my mistake,0
you also cannot take pictures with it in the case because the lense is covered,0
phone falls out easily,0
it didn t work people can not hear me when i talk,0
the text messaging feature is really tricky to use,0
i m really disappointed all i have now is a charger that doesn t work,0
painful on the ear,0
lasted one day and then blew up,0
disappointed,0
kind of flops around,0
the screen does get smudged easily because it touches your ear and face,0
what a piece of junk i lose more calls on this phone,0
item does not match picture,0
the only thing that disappoint me is the infra red port irda,0
you can not answer calls with the unit never worked once,0
